SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161214
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/14/16 4:04:48 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
A1	Passed	A1	jimmy161209	Standard	15.73543		1.0															
A2	Passed	A2	jimmy161209	Standard	15.747108		1.0															
A3	Passed	A3	jimmy161209	Standard	15.066528		1.0															
A4	Flagged	A4	jimmy161209	Unknown	Undetermined		0.0								true			true				
A5	Flagged	A5	jimmy161209	Unknown	Undetermined		0.0								true			true				
A6	Flagged	A6	jimmy161209	Unknown	Undetermined		0.0								true			true				
A7	Passed	A7	jimmy161209	Unknown	33.633434		4.5911806E-5															
A8	Passed	A8	jimmy161209	Unknown	33.86828		4.0290677E-5															
A9	Passed	A9	jimmy161209	Unknown	33.469913		5.0282677E-5															
A10	Passed	A10	jimmy161209	Unknown	35.7224		1.4367921E-5															
A11	Flagged	A11	jimmy161209	Unknown	Undetermined		0.0								true			true				
A12	Passed	A12	jimmy161209	Unknown	34.410175		2.9807441E-5															
B1	Passed	B1	jimmy161209	Standard	20.051226		0.1															
B2	Passed	B2	jimmy161209	Standard	20.422886		0.1															
B3	Passed	B3	jimmy161209	Standard	19.707111		0.1															
B4	Flagged	B4	jimmy161209	Unknown	Undetermined		0.0								true			true				
B5	Passed	B5	jimmy161209	Unknown	35.23636		1.8827108E-5															
B6	Flagged	B6	jimmy161209	Unknown	Undetermined		0.0								true			true				
B7	Passed	B7	jimmy161209	Unknown	33.128555		6.0794395E-5															
B8	Passed	B8	jimmy161209	Unknown	33.19792		5.8493868E-5															
B9	Passed	B9	jimmy161209	Unknown	34.623104		2.647877E-5															
B10	Passed	B10	jimmy161209	Unknown	34.95771		2.1982798E-5															
B11	Passed	B11	jimmy161209	Unknown	35.695747		1.4582475E-5															
B12	Flagged	B12	jimmy161209	Unknown	Undetermined		0.0								true			true				
C1	Passed	C1	jimmy161209	Standard	23.643663		0.01															
C2	Passed	C2	jimmy161209	Standard	23.729836		0.01															
C3	Passed	C3	jimmy161209	Standard	23.913897		0.01															
